Lets check the dict set times: 
Time for 100000 dict inserts: 0.2022065460041631
Time for 1 dict inserts: 2.0220654600416311e-07
Time for 200000 dict inserts: 0.42527797099319287
Time for 1 dict inserts: 2.1263898549659644e-07
Time for 300000 dict inserts: 0.5718423299840651
Time for 1 dict inserts: 1.9061410999468838e-07
Time for 400000 dict inserts: 0.798263285018038
Time for 1 dict inserts: 1.995658212545095e-07
Time for 500000 dict inserts: 0.9656122370215598
Time for 1 dict inserts: 1.9312244740431197e-07
Time for 600000 dict inserts: 1.181954028987093
Time for 1 dict inserts: 1.9699233816451548e-07
Time for 700000 dict inserts: 1.4146682010032237
Time for 1 dict inserts: 2.0209545728617482e-07
Time for 800000 dict inserts: 1.5430915000033565
Time for 1 dict inserts: 1.9288643750041957e-07
Time for 900000 dict inserts: 1.7338465139910113
Time for 1 dict inserts: 1.926496126656679e-07
Time for 1000000 dict inserts: 1.9445611519913655
Time for 1 dict inserts: 1.9445611519913654e-07
Now lets check the dict get times: 
Time for 100000 dict gets: 0.17271794399130158
Time for 1 dict gets: 1.727179439913016e-07
Time for 200000 dict gets: 0.3504196810245048
Time for 1 dict gets: 1.752098405122524e-07
Time for 300000 dict gets: 0.5403476940118708
Time for 1 dict gets: 1.801158980039569e-07
Time for 400000 dict gets: 0.7135444059967995
Time for 1 dict gets: 1.7838610149919986e-07
Time for 500000 dict gets: 0.8621826440212317
Time for 1 dict gets: 1.7243652880424633e-07
Time for 600000 dict gets: 1.0694317989982665
Time for 1 dict gets: 1.7823863316637774e-07
Time for 700000 dict gets: 1.2612103990104515
Time for 1 dict gets: 1.801729141443502e-07
Time for 800000 dict gets: 1.4259053679998033
Time for 1 dict gets: 1.782381709999754e-07
Time for 900000 dict gets: 1.688889402023051
Time for 1 dict gets: 1.876543780025612e-07
Time for 1000000 dict gets: 1.9324668380140793
Time for 1 dict gets: 1.932466838014079e-07
